Array Size (kB),Average Time Access (ns)
1024.00,16.30
2048.00,15.86
3072.00,15.87
4096.00,15.76
5120.00,15.77
6144.00,15.27
7168.00,18.37
8192.00,19.13
9216.00,18.59
10240.00,18.44
11264.00,18.66
12288.00,18.83
13312.00,18.68
14336.00,18.72
15360.00,18.74
16384.00,18.76
17408.00,18.84
18432.00,18.99
19456.00,19.29
20480.00,19.38
21504.00,19.71
22528.00,20.10
23552.00,20.40
24576.00,20.69
25600.00,21.18
26624.00,21.47
27648.00,21.91
28672.00,22.23
29696.00,22.55
30720.00,23.09
31744.00,24.13
32768.00,24.15
33792.00,24.89
34816.00,24.70
35840.00,25.32
36864.00,25.66
37888.00,25.94
38912.00,26.42
39936.00,27.39
40960.00,27.03
41984.00,27.22
43008.00,27.38
44032.00,28.23
45056.00,28.35
46080.00,29.20
47104.00,28.71
48128.00,29.51
49152.00,29.34
50176.00,29.52
51200.00,29.55
Dummy output to prevent complier optimization: -115627304
